,label,study_and_condition
5798,__label__1,metast cant diagnos act system infect coag disord act maj med il cardiovascul respir immun system evid posit stress thall comp test myocard infarct cardiac arrhythmia obstruct restrict pulmon diseas metastatic cancer diagnosis active systemic infections coagulation disorder active major medical illnesses cardiovascular respiratory immune system evidence positive stress thallium comparable test myocardial infarction cardiac arrhythmias obstructive restrictive pulmonary disease
5799,__label__0,childr new diagnos neuroblastom ganglioneuroblastom children newly diagnose neuroblastoma ganglioneuroblastoma
5800,__label__0,recur prost cant diagnos hist liv diseas form hepatit cirrhos recurrent prostate cancer diagnosis history liver disease form hepatitis cirrhosis
5801,__label__0,unt child giant cel glioblastom diagnos doc mg dl six less_than ten year ag untreated childhood giant cell glioblastoma diagnosis doc mg dl six less_than ten years age
5802,__label__1,child supr ependymom diagnos paty clin sign unrel system il sery infect sign cardiac pulmon hep org dysfunct would comprom paty abl tol protocol therapy would lik interf study proc result childhood supratentorial ependymoma diagnosis patients clinically significant unrelated systemic illness serious infections significant cardiac pulmonary hepatic organ dysfunction would compromise patient ability tolerate protocol therapy would likely interfere study procedures result
5803,__label__1,recur progress endomet cant recurrent progressive endometrial cancer
5804,__label__1,recur cut cel non hodgkin lymphom diagnos paty uncontrol il includ ongo act infect requir therapy recurrent cutaneous cell non hodgkin lymphoma diagnosis patients uncontrolled illness include ongoing active infection require therapy
5805,__label__1,solid tum diagnos subject tak or med solid tumors diagnosis subject take oral medication
5806,__label__0,tum diagnos ag eighteen year tumor diagnosis age eighteen years
5807,__label__1,gastroesoph junct adenocarcinom diagnos hist prim immunodeficy gastroesophageal junction adenocarcinoma diagnosis history primary immunodeficiency
5808,__label__1,glioblastom multiform diagnos paty tol drug glioblastoma multiforme diagnosis patient tolerate drug
5809,__label__1,adult anaplast astrocytom diagnos paty malabsorb syndrom condit would interf intestin absorb paty must abl swallow tablet adult anaplastic astrocytoma diagnosis patients malabsorption syndrome condition would interfere intestinal absorption patients must able swallow tablets
5810,__label__1,stag ib pancr cant diagnos erectil dysfunct ag stage ib pancreatic cancer diagnosis erectile dysfunction agent
5811,__label__0,breast cant diagnos quinidin breast cancer diagnosis quinidine
5812,__label__0,recur metast squam neck cant occult prim diagnos non heal wound within past four week recurrent metastatic squamous neck cancer occult primary diagnosis non heal wound within past four weeks
5813,__label__0,rhabdomyosarcom diagnos foxoone_fusion neg rhabdomyosarcoma diagnosis foxoone_fusion negative
5814,__label__1,cerv squam cel carcinom diagnos paty anticip invas proc defin cervical squamous cell carcinoma diagnosis patients anticipation invasive procedures define
5815,__label__0,recur cut cel non hodgkin lymphom diagnos follow allow recurrent cutaneous cell non hodgkin lymphoma diagnosis follow allow
5816,__label__0,stag margin zon lymphom diagnos don stage marginal zone lymphoma diagnosis donor
5817,__label__1,gliom diagnos allergy gadolin contrast glioma diagnosis allergy gadolinium contrast
5818,__label__0,recur metast squam neck cant occult prim diagnos paty act pri cent nerv system cns metastas elig recurrent metastatic squamous neck cancer occult primary diagnosis patients active prior central nervous system cns metastasis eligible
5819,__label__0,bily tract cant diagnos on pri gemcitabin bas doublet chemotherapy eg gemcitabin cisplatin unresect btc tre chemotherapy btc biliary tract cancer diagnosis one prior gemcitabine base doublet chemotherapy eg gemcitabine cisplatin unresectable btc treat chemotherapy btc
5820,__label__0,pres hemangiom follow charact present hemangioma follow characteristics
5821,__label__0,histolog cytolog confirm epithel cant exocrin pancrea histologically cytologically confirm epithelial cancer exocrine pancreas
5822,__label__0,prost cant diagnos fevon least sixtyf predict prostate cancer diagnosis fevone least sixtyfive predict
5823,__label__0,recur rect carcinom diagnos eastern coop oncolog group ecog perform stat ps zero on recurrent rectal carcinoma diagnosis eastern cooperative oncology group ecog performance status ps zero one
5824,__label__1,ov cant diagnos sign co morbid condit investig feel might comprom effect saf particip study includ hist congest cardiac fail electrocardiogram ecg suggest sign conduc defect myocard ischem ovarian cancer diagnosis significant co morbid condition investigator feel might compromise effective safe participation study include history congestive cardiac failure electrocardiogram ecg suggest significant conduction defect myocardial ischemia
5825,__label__1,noncontigu stag ii adult diffus larg cel lymphom diagnos paty candid unrel don allog hsct bas cur institut bon marrow transpl bmt program clin pract guidelin org funct criter util per cur institut bmt program clin pract guidelin restrict study entry bas hematolog paramet noncontiguous stage ii adult diffuse large cell lymphoma diagnosis patients candidate unrelated donor allogeneic hsct base current institutional bone marrow transplant bmt program clinical practice guidelines organ function criteria utilize per current institutional bmt program clinical practice guidelines restriction study entry base hematological parameters
5826,__label__1,stag ii breast cant diagnos known contraind fiv htthree receiv antagon includ palonosetron dexamethason stage iiia breast cancer diagnosis know contraindication five htthree receptor antagonists include palonosetron dexamethasone
5827,__label__0,adult cel leukem lymphom diagnos wil seen baselin six week twelv week 1six week study tim point adult cell leukemia lymphoma diagnosis will see baseline six weeks twelve weeks 1six weeks study time point
5828,__label__0,low grad cns tum diagnos fem particip childbear ag must lact due theoret pot harm inf expos rady low grade cns tumors diagnosis female participants childbearing age must lactate due theoretical potential harm infant exposure radiation
5829,__label__1,recur ren cel carcinom diagnos hist ven art thromboembolism within twelv month pri enrol random recurrent renal cell carcinoma diagnosis history venous arterial thromboembolism within twelve months prior enrollment randomization
5830,__label__0,stag ii child smal noncleav cel lymphom diagnos match grad doc stage ii childhood small noncleaved cell lymphoma diagnosis match grade doc
5831,__label__0,multipl myelom plasm cel neoplasm diagnos zubrod zero three hematopoiet multiple myeloma plasma cell neoplasm diagnosis zubrod zero three hematopoietic
5832,__label__0,sarcom diagnos hematopoiet grow fact sarcoma diagnosis hematopoietic growth factor
5833,__label__1,refract burkit lymphom diagnos rec maj surgery within six week pri start study tre diagnos refractory burkitt lymphoma diagnosis recent major surgery within six weeks prior start study treatment diagnosis
5834,__label__1,act second prim malign exceiv situ carcinom cervix adequ tre bas cel carcinom skin within less on year enrol study active second primary malignancy except situ carcinoma cervix adequately treat basal cell carcinoma skin within less one year enrollment study
5835,__label__0,breast cant diagnos lif expect greater_than fiv year breast cancer diagnosis life expectancy greater_than five years
5836,__label__1,recur grad three follicul lymphom diagnos marrow don recurrent grade three follicular lymphoma diagnosis marrow donors
5837,__label__1,clin sign cardiovascul diseas includ myocard infarct unst angin symptom congest heart fail sery uncontrol cardiac arrhythm less_than on year enrol clinically significant cardiovascular disease include myocardial infarction unstable angina symptomatic congestive heart failure serious uncontrolled cardiac arrhythmia less_than one year enrollment
5838,__label__0,breast cant diagnos http breast cancer diagnosis http
5839,__label__0,solid tum diagnos mal fem paty wil cons us effect contraceiv hormon barry method abstin pri study entry tre least three month thereaft solid tumors diagnosis male female patients will consent use effective contraception hormonal barrier method abstinence prior study entry treatment least three months thereafter
5840,__label__1,stag ii ov cant diagnos paty particip marathon_triathlon end rel phys act within prevy twentyfo month stage iia ovarian cancer diagnosis patients participate marathon_triathlon endurance relate physical activity within previous twentyfour months
5841,__label__0,recur smal lymphocys lymphom diagnos paty mds refract anem ra mds refract anem ringed_sideroblasts rar elig protocol addit paty myeloprol syndrom mps elig paty mds mps greater_than fiv marrow blast includ transform aml must receiv cytotox chemotherapy achiev less_than fiv marrow blast tim transpl recurrent small lymphocytic lymphoma diagnosis patients mds refractory anemia ra mds refractory anemia ringed_sideroblasts rars eligible protocol additionally patients myeloproliferative syndromes mps eligible patients mds mps greater_than five marrow blast include transformation aml must receive cytotoxic chemotherapy achieve less_than five marrow blast time transplant
